accepted,alpha_uV2,block,condition,flat,large_excursion,nonfinite_or_shape,overrange,session,start_s
False,,0,1,False,True,False,False,0,2.0
True,88.37950085166354,0,1,False,False,False,False,0,6.0
True,7.227400355785257,1,0,False,False,False,False,0,14.0
True,6.976547288622715,1,0,False,False,False,False,0,18.0
True,10.437490845669755,2,0,False,False,False,False,0,26.0
True,9.504634193127268,2,0,False,False,False,False,0,30.0
True,86.93314223516397,3,1,False,False,False,False,0,38.0
False,,3,1,False,True,False,False,0,42.0
True,8.576248891775457,4,0,False,False,False,False,0,50.0
True,10.477409884136447,4,0,False,False,False,False,0,54.0
True,83.79828695673304,5,1,False,False,False,False,0,62.0
True,91.90346997496201,5,1,False,False,False,False,0,66.0
False,,6,1,False,True,False,False,0,74.0
True,84.34197045579246,6,1,False,False,False,False,0,78.0
True,8.40736034513233,7,0,False,False,False,False,0,86.0
True,9.35249449157972,7,0,False,False,False,False,0,90.0
True,12.840223256572353,8,0,False,False,False,False,1,2.0
False,,8,0,False,True,False,False,1,6.0
True,143.8689296328325,9,1,False,False,False,False,1,14.0
True,142.4097831943642,9,1,False,False,False,False,1,18.0
True,14.025523211035583,10,0,False,False,False,False,1,26.0
True,14.607607530877525,10,0,False,False,False,False,1,30.0
True,150.27516131758333,11,1,False,False,False,False,1,38.0
False,,11,1,False,True,False,False,1,42.0
True,145.28195757762404,12,1,False,False,False,False,1,50.0
True,143.11103913366418,12,1,False,False,False,False,1,54.0
True,14.293709501355325,13,0,False,False,False,False,1,62.0
True,14.159664702113432,13,0,False,False,False,False,1,66.0
False,,14,1,False,True,False,False,1,74.0
True,137.883376243507,14,1,False,False,False,False,1,78.0
True,12.58865927158072,15,0,False,False,False,False,1,86.0
True,11.937098011485482,15,0,False,False,False,False,1,90.0
True,127.1773620982076,16,1,False,False,False,False,2,2.0
False,,16,1,False,True,False,False,2,6.0
True,11.607145974021439,17,0,False,False,False,False,2,14.0
True,12.724364775923755,17,0,False,False,False,False,2,18.0
True,128.4622253590652,18,1,False,False,False,False,2,26.0
True,126.63416728863831,18,1,False,False,False,False,2,30.0
False,,19,1,False,True,False,False,2,38.0
True,127.29891480972694,19,1,False,False,False,False,2,42.0
True,11.131926708355339,20,0,False,False,False,False,2,50.0
True,13.596415448021297,20,0,False,False,False,False,2,54.0
True,9.961181233900952,21,0,False,False,False,False,2,62.0
True,13.781903663126535,21,0,False,False,False,False,2,66.0
True,122.34973966328442,22,1,False,False,False,False,2,74.0
False,,22,1,False,True,False,False,2,78.0
True,13.101251989306135,23,0,False,False,False,False,2,86.0
True,12.125463920281904,23,0,False,False,False,False,2,90.0
False,,24,0,False,True,False,False,3,2.0
True,12.246216798112856,24,0,False,False,False,False,3,6.0
True,130.15143060386765,25,1,False,False,False,False,3,14.0
True,131.9408728939758,25,1,False,False,False,False,3,18.0
True,128.25649702543043,26,1,False,False,False,False,3,26.0
True,138.50781088487503,26,1,False,False,False,False,3,30.0
True,11.768278737534425,27,0,False,False,False,False,3,38.0
False,,27,0,False,True,False,False,3,42.0
True,132.4645008299075,28,1,False,False,False,False,3,50.0
True,139.30032825853394,28,1,False,False,False,False,3,54.0
True,10.466087000609686,29,0,False,False,False,False,3,62.0
True,11.826308616517563,29,0,False,False,False,False,3,66.0
True,131.82425296464623,30,1,False,False,False,False,3,74.0
False,,30,1,False,True,False,False,3,78.0
True,11.896203256723735,31,0,False,False,False,False,3,86.0
True,13.986327626860879,31,0,False,False,False,False,3,90.0
True,12.759320004928494,32,0,False,False,False,False,4,2.0
False,,32,0,False,True,False,False,4,6.0
True,135.8261625921022,33,1,False,False,False,False,4,14.0
True,138.07796250277315,33,1,False,False,False,False,4,18.0
True,14.495451627441724,34,0,False,False,False,False,4,26.0
True,11.730950974568184,34,0,False,False,False,False,4,30.0
False,,35,1,False,True,False,False,4,38.0
True,143.48560332068755,35,1,False,False,False,False,4,42.0
True,13.020280280073166,36,0,False,False,False,False,4,50.0
True,14.54652771406645,36,0,False,False,False,False,4,54.0
True,136.28840944211592,37,1,False,False,False,False,4,62.0
True,140.99248507389473,37,1,False,False,False,False,4,66.0
False,,38,0,False,True,False,False,4,74.0
True,13.345290507496998,38,0,False,False,False,False,4,78.0
True,142.87927771319454,39,1,False,False,False,False,4,86.0
True,139.29779886688877,39,1,False,False,False,False,4,90.0
False,,40,1,False,True,False,False,5,2.0
True,138.29436109479607,40,1,False,False,False,False,5,6.0
True,131.44049099304928,41,1,False,False,False,False,5,14.0
True,139.68953003353081,41,1,False,False,False,False,5,18.0
True,131.4749072224899,42,1,False,False,False,False,5,26.0
True,136.30857118479597,42,1,False,False,False,False,5,30.0
True,12.173122381267996,43,0,False,False,False,False,5,38.0
False,,43,0,False,True,False,False,5,42.0
True,12.547538495355738,44,0,False,False,False,False,5,50.0
True,13.453493321131518,44,0,False,False,False,False,5,54.0
True,13.079506504851647,45,0,False,False,False,False,5,62.0
True,12.069373101053746,45,0,False,False,False,False,5,66.0
False,,46,1,False,True,False,False,5,74.0
True,141.10933101460623,46,1,False,False,False,False,5,78.0
True,13.756689045901016,47,0,False,False,False,False,5,86.0
True,11.773259175276918,47,0,False,False,False,False,5,90.0
