sequence,device_time_us,elapsed_s,missing_before,flags,overruns,status,ch1_count,ch2_count,ch3_count,ch4_count,ch1_uV,ch2_uV,ch3_uV,ch4_uV
0,0,0.0,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
1,4000,0.004,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
2,8000,0.008,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
3,12000,0.012,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
4,16000,0.016,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
5,20000,0.02,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
6,24000,0.024,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
7,28000,0.028,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
8,32000,0.032,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
9,36000,0.036,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
10,40000,0.04,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
11,44000,0.044,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
12,48000,0.048,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
13,52000,0.052,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
14,56000,0.056,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
15,60000,0.06,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
16,64000,0.064,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
17,68000,0.068,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
18,72000,0.072,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
19,76000,0.076,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
20,80000,0.08,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
21,84000,0.084,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
22,88000,0.088,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
23,92000,0.092,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
24,96000,0.096,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
25,100000,0.1,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
26,104000,0.104,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
27,108000,0.108,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
28,112000,0.112,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
29,116000,0.116,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
30,120000,0.12,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
31,124000,0.124,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
32,128000,0.128,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
33,132000,0.132,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
34,136000,0.136,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
35,140000,0.14,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
36,144000,0.144,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
37,148000,0.148,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
38,152000,0.152,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
39,156000,0.156,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
40,160000,0.16,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
41,164000,0.164,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
42,168000,0.168,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
43,172000,0.172,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
44,176000,0.176,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
45,180000,0.18,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
46,184000,0.184,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
47,188000,0.188,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
48,192000,0.192,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
49,196000,0.196,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
50,200000,0.2,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
51,204000,0.204,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
52,208000,0.208,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
53,212000,0.212,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
54,216000,0.216,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
55,220000,0.22,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
56,224000,0.224,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
57,228000,0.228,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
58,232000,0.232,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
59,236000,0.236,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
60,240000,0.24,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
61,244000,0.244,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
62,248000,0.248,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
63,252000,0.252,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
64,256000,0.256,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
65,260000,0.26,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
66,264000,0.264,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
67,268000,0.268,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
68,272000,0.272,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
69,276000,0.276,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
70,280000,0.28,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
71,284000,0.284,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
72,288000,0.288,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
73,292000,0.292,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
74,296000,0.296,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
75,300000,0.3,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
76,304000,0.304,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
77,308000,0.308,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
