frequency_hz,ch1_uV2_per_Hz,ch2_uV2_per_Hz,ch3_uV2_per_Hz,ch4_uV2_per_Hz
0.000000000000000000e+00,1.622714569332390706e-32,9.165641459330820095e-32,3.843238937629914554e-32,1.069105884036878258e-32
2.500000000000000000e-01,2.234292309602841488e-34,3.419423030892321977e-32,1.702955843547627133e-33,1.922649808303333134e-33
5.000000000000000000e-01,1.747653784000926345e-32,3.463076678392139646e-32,2.831336063132283330e-32,2.326147351109116995e-32
7.500000000000000000e-01,6.535235687967187299e-33,3.660205527135092295e-33,7.431171381961979769e-33,8.120802138531941223e-33
1.000000000000000000e+00,1.453620633723811211e-32,3.383026532395320641e-33,5.721019646702267706e-33,2.969290043467634145e-32
1.250000000000000000e+00,4.003073578489296807e-33,1.211675846265069716e-32,3.219311476169435476e-33,1.872205377716399901e-32
1.500000000000000000e+00,7.465991909916101921e-33,1.840139646222316151e-33,8.600805958863256620e-33,4.568736826392812074e-32
1.750000000000000000e+00,5.489456227614395012e-33,2.085947649009735140e-33,5.672552939207419053e-34,1.531288590113286980e-32
2.000000000000000000e+00,1.334401459022440673e-32,1.691802895247251704e-32,4.918771277719406422e-36,1.547834928547300769e-32
2.250000000000000000e+00,5.731470983417147637e-32,8.651783438745463145e-33,1.039903890556745211e-31,5.473535786772368860e-33
2.500000000000000000e+00,3.646111812928502331e-31,5.261339717574438361e-31,8.923707970292758140e-32,7.196653060568059084e-32
2.750000000000000000e+00,1.712926117566798695e-33,9.105283439492584803e-32,8.034966322751178825e-33,3.609409472733577426e-32
3.000000000000000000e+00,7.121379151954298397e-33,2.133565922677578506e-32,5.604793515822687012e-33,4.848997090518841966e-33
3.250000000000000000e+00,7.705319161751431486e-34,2.357534970789433025e-34,1.002143422412374634e-32,1.057629766431365019e-32
3.500000000000000000e+00,1.960069700525072499e-32,7.224419596855018010e-32,1.087067765113003390e-31,2.040064321104563199e-32
3.750000000000000000e+00,1.091296078673636069e-31,2.317004260617025726e-32,1.014952616183936041e-33,5.239980879928145189e-32
4.000000000000000000e+00,6.620496991930709843e-33,8.177775305242185156e-33,5.408427410609027178e-32,9.731953401541616077e-33
4.250000000000000000e+00,3.195132542137021358e-34,1.628253762124205854e-34,6.579492489842959194e-33,3.661936095509093610e-33
4.500000000000000000e+00,1.713559233406254303e-33,1.044096792714174924e-32,1.428364685524343862e-32,2.630993123801859072e-33
4.750000000000000000e+00,2.072046652021210234e-32,3.506558250840788926e-32,2.262352743448149881e-32,3.594510384602850790e-33
5.000000000000000000e+00,1.669707467755671167e-32,4.170111647038885860e-32,1.316931877830902627e-32,2.303418562122207240e-32
5.250000000000000000e+00,2.261558881192293024e-32,2.077504194107548440e-32,1.314887287999189808e-32,1.785458143424020462e-32
5.500000000000000000e+00,3.268614026903562890e-34,1.715232733261912099e-32,7.131444352939350319e-33,1.566023072268434274e-32
5.750000000000000000e+00,5.645157248669943496e-34,3.287717926399577166e-33,2.178548361809568394e-33,6.882183087314425487e-34
6.000000000000000000e+00,1.152591827995817565e-32,4.715522041968913919e-32,3.876991039667850575e-32,6.384336542514723442e-32
6.250000000000000000e+00,3.261244203046106322e-33,8.191374617883132918e-33,7.709039273448683389e-34,6.646918971048385569e-33
6.500000000000000000e+00,7.606770445063208274e-33,1.762479767490878836e-33,1.549517613789148359e-33,3.153277811063270927e-33
6.750000000000000000e+00,2.510959871653826311e-33,1.279673084669018706e-32,1.096732620461237277e-32,2.390357796350319195e-33
7.000000000000000000e+00,3.153519474910371297e-34,2.207734516238681918e-33,1.131555499479208406e-33,1.122093888815636925e-33
7.250000000000000000e+00,4.551750914006745885e-33,2.532277970457370777e-32,2.422248629570491706e-35,2.167062631409185107e-33
7.500000000000000000e+00,5.113092021126224663e-33,1.363300675765854806e-32,5.921987487117994284e-33,5.252997814633556031e-33
7.750000000000000000e+00,2.182318111320065370e-32,3.190528298801138924e-32,8.956560338498760674e-32,3.337440689287731490e-32
8.000000000000000000e+00,1.964698650117973890e-32,1.324961009512417902e-32,1.171977715458365480e-32,1.995077176961347420e-32
8.250000000000000000e+00,1.267734791153101704e-32,1.704191159545928153e-33,1.028978918195302455e-33,7.155302568347387694e-33
8.500000000000000000e+00,1.298346511587319522e-32,2.597943953491743345e-33,9.408849972173531057e-33,3.074277570274718057e-32
8.750000000000000000e+00,4.150602942075934421e-31,2.608646599678284964e-31,3.674224824830351910e-31,1.962902610854711617e-32
9.000000000000000000e+00,8.408137723563632170e-32,2.687811316506891735e-32,1.073580778983202731e-32,7.606684842481630274e-32
9.250000000000000000e+00,1.176730022948619387e-32,2.030159669730869443e-32,2.979257938696700929e-32,1.565622006846083272e-32
9.500000000000000000e+00,4.967538830263369664e-33,1.125882368597249158e-32,2.359699021230743587e-32,9.465410688172051621e-33
9.750000000000000000e+00,4.156161787315862455e+01,4.152605895338183473e+01,4.151292264883100103e+01,4.153175155003361141e+01
1.000000000000000000e+01,1.662464714926344129e+02,1.661042358135272821e+02,1.660516905953240041e+02,1.661270062001343604e+02
1.025000000000000000e+01,4.156161787315860323e+01,4.152605895338182052e+01,4.151292264883100813e+01,4.153175155003359009e+01
1.050000000000000000e+01,1.605711096995925645e-32,2.990378585836894413e-32,4.114552810061441805e-32,1.909245296755646371e-32
1.075000000000000000e+01,1.548443229587350244e-32,2.004934745148436151e-32,1.432123516632472543e-32,1.915475692373211829e-32
1.100000000000000000e+01,3.995708235806673739e-32,4.506450145277638780e-32,5.821969689790718476e-32,4.428947010519983776e-32
1.125000000000000000e+01,1.528943866279953823e-31,1.399163602377055949e-31,4.634812275689328354e-32,9.720881676626210365e-32
1.150000000000000000e+01,1.065187660838938886e-31,7.565811017966614194e-32,8.105952285717128577e-32,1.534313639160005689e-31
1.175000000000000000e+01,1.825244255315195757e-32,6.875749884701734548e-33,3.727705735546637841e-33,1.378921391014307080e-32
1.200000000000000000e+01,8.603342992536759435e-33,5.457615826009109695e-33,1.541365182410104248e-32,1.812182227386771044e-33
1.225000000000000000e+01,2.773967337279154148e-32,5.145391010490452635e-32,7.263140332369299473e-32,4.828910599158560772e-32
1.250000000000000000e+01,4.870152100172230226e-33,3.029935917186979082e-33,1.206650181766025441e-32,2.360474996428677647e-32
1.275000000000000000e+01,9.665047980292235156e-33,3.634719699118699683e-32,1.104707894438864001e-32,3.621926245579310313e-33
1.300000000000000000e+01,1.041297599805087037e-32,4.777279398042028540e-33,1.750266765624985762e-32,4.403233279158212300e-33
1.325000000000000000e+01,5.882922704379947068e-33,4.810664264548149908e-33,5.241046973736209378e-34,1.931304781777154049e-32
1.350000000000000000e+01,1.792368159750387023e-33,1.168960078783835600e-33,4.007751670760455314e-32,3.329311192262532109e-32
1.375000000000000000e+01,3.112135504511899004e-33,1.241686459435213022e-32,2.490065103109701813e-32,2.849085703070356004e-33
1.400000000000000000e+01,4.822842379241638703e-32,3.238627700978539132e-32,4.631551219853178848e-32,3.392650983918553551e-32
1.425000000000000000e+01,1.615504702670811628e-34,7.594936592498603420e-34,4.904379706049568690e-33,1.847686767238613128e-33
1.450000000000000000e+01,1.653918785327091008e-35,6.854890486426689328e-33,7.860223717716435602e-34,1.914724905784752358e-32
1.475000000000000000e+01,2.820126768648560209e-32,2.042208732451954941e-32,7.952510976125913782e-32,2.404433165213667187e-32
1.500000000000000000e+01,6.688274713747907748e-32,2.204260541581318416e-31,4.583832103831708935e-32,1.088405918008454003e-32
1.525000000000000000e+01,4.370644788654100211e-32,1.122160530808679351e-31,2.644498085071202603e-32,7.149368968349128811e-32
1.550000000000000000e+01,3.367276263266261027e-33,1.030880939292437952e-32,8.035107265779132041e-33,2.592377705419884625e-33
1.575000000000000000e+01,2.474249986054148333e-33,2.041339081299175576e-34,4.909929963983708386e-33,3.946153454812581442e-33
1.600000000000000000e+01,8.856082543515674518e-32,4.261756154056053823e-32,9.521159944934813911e-32,7.475899426014833717e-32
1.625000000000000000e+01,5.892516894412422861e-32,4.598302307758124439e-31,3.230415743854674043e-31,4.642359343593263663e-31
1.650000000000000000e+01,1.359407086270919468e-31,5.446805777449775702e-32,6.978806181481549082e-32,2.054291103955531758e-31
1.675000000000000000e+01,3.918481572919660892e-34,8.313162132657539672e-34,5.886633323517791486e-33,7.798201685339730006e-33
1.700000000000000000e+01,3.368241937701607866e-33,1.066918217704999566e-32,3.568335954248557041e-33,1.380395412418971604e-33
1.725000000000000000e+01,5.385619803666221340e-32,2.053684081111049378e-33,2.722789759417858335e-32,8.289293445338723633e-33
1.750000000000000000e+01,1.142996468041201498e-31,9.225151002155736492e-32,5.870064313480579556e-32,2.936932535003075644e-32
1.775000000000000000e+01,4.313998727106229052e-32,8.220229944855715494e-33,1.754855070507412190e-32,1.826291021916150048e-32
1.800000000000000000e+01,1.319141726032741045e-32,4.854624569651328118e-33,9.239275619770033987e-34,3.527376178243372661e-33
1.825000000000000000e+01,2.151703239880181875e-34,8.682140925909019855e-33,2.101251540750589480e-33,4.521319331103166762e-33
1.850000000000000000e+01,5.265697475510394067e-33,1.252146345824712559e-32,5.502065941028002642e-33,5.589249562505358596e-32
1.875000000000000000e+01,1.244147273226830355e-32,1.023966747276717019e-32,3.410434968311593989e-34,1.486886052610944469e-32
1.900000000000000000e+01,4.019187657263378813e-32,8.396542002041062475e-32,1.115476442245383260e-32,1.201295854630156460e-31
1.925000000000000000e+01,1.118640312074021479e-32,4.665154143951018838e-32,3.083555963571141681e-32,4.030062770048030859e-32
1.950000000000000000e+01,1.937242143420622198e-32,3.683014501100619810e-32,3.977371533973298555e-32,2.440518202015026689e-32
1.975000000000000000e+01,7.118008748596503552e-09,8.167631327667127786e-07,1.174963486381059239e-06,2.148132190444398704e-06
2.000000000000000000e+01,2.847203499414845786e-08,3.267052531069039847e-06,4.699853945525698933e-06,8.592528761776940905e-06
2.025000000000000000e+01,7.118008748571420127e-09,8.167631327674514972e-07,1.174963486381489531e-06,2.148132190443840932e-06
2.050000000000000000e+01,1.154291132559863083e-32,6.013320079539213570e-33,2.081567316252160175e-33,3.103096403508378927e-32
2.075000000000000000e+01,2.200931235319600214e-33,1.161572155393663500e-32,3.243910309275201730e-33,1.083909340554932020e-32
2.100000000000000000e+01,3.707250005560394288e-32,3.725394020821693440e-32,2.418449669759936497e-31,6.050649984411552639e-32
2.125000000000000000e+01,1.221140644045098022e-30,3.508839741159860316e-31,4.356123867795674854e-31,3.693359058186559055e-32
2.150000000000000000e+01,6.971438745477287875e-32,1.081067189450487213e-31,4.222676981027581308e-31,1.209380724566867789e-32
2.175000000000000000e+01,6.000201416867882606e-33,1.192315008833521056e-33,4.095959261943076173e-34,1.017868216063954800e-32
2.200000000000000000e+01,2.872982679300398141e-34,1.106614064432504756e-32,3.337566929318611747e-34,1.609564852940721197e-33
2.225000000000000000e+01,3.783662349918701793e-32,5.629003091107636748e-32,6.872342165775769926e-32,8.760357284028123884e-32
2.250000000000000000e+01,1.933557611153893866e-32,7.057551594106167657e-32,1.755114005047511044e-32,1.149609834258913547e-31
2.275000000000000000e+01,3.037990171826122277e-32,6.042315846072857224e-32,2.625340014724222528e-32,1.416457239680965589e-32
2.300000000000000000e+01,5.477049428699541964e-33,2.620511724715937642e-32,6.135835264465684759e-33,8.894975258834634292e-33
2.325000000000000000e+01,7.763881425690316541e-34,2.210557028391623504e-33,1.425422573791915575e-32,1.675176043860603188e-32
2.350000000000000000e+01,1.744276353385755301e-33,4.739079502818434758e-34,1.202997194524903416e-34,4.953395773517951170e-33
2.375000000000000000e+01,3.912561196149681140e-33,2.069044842471011220e-33,8.133874385573777657e-33,1.528863918017008740e-32
2.400000000000000000e+01,2.019271008259807259e-33,3.327758013452581690e-33,2.124347297454755352e-32,1.590052790475676827e-32
2.425000000000000000e+01,1.419884162050272775e-33,5.625095446457767636e-34,2.487885000152677108e-34,7.884110112637114656e-34
2.450000000000000000e+01,1.800023892458365301e-33,1.206768151199126931e-34,2.010093310277165470e-33,2.429960189837931794e-33
2.475000000000000000e+01,5.768989380450072721e-34,3.901997264293052392e-33,3.979917710268725218e-33,1.457004226412558613e-33
2.500000000000000000e+01,1.701523951731899127e-32,3.953524693309506804e-32,2.595714249029657830e-32,1.140378896902080784e-32
2.525000000000000000e+01,1.733087749973279439e-32,2.285501550249868702e-32,6.038122939510581950e-33,1.331699671274016296e-33
2.550000000000000000e+01,7.252805822013171914e-33,5.862982497775666865e-33,5.616005698896171900e-33,2.507348658431444772e-34
2.575000000000000000e+01,5.993817742240912022e-34,1.199976492059896801e-32,2.424710214471579695e-33,2.114545967603497504e-33
2.600000000000000000e+01,3.642581716075397786e-33,2.802000836466905269e-32,3.135162932171150511e-33,6.551700849747381480e-33
2.625000000000000000e+01,1.242956973143066216e-32,1.259587147602709758e-32,2.781003495940916163e-33,4.969278021551110586e-33
2.650000000000000000e+01,1.557513062949630608e-32,6.923198525434732308e-33,2.335615745699462623e-32,2.103118037475279341e-33
2.675000000000000000e+01,1.050686746779861246e-32,8.311160145002328420e-34,3.647120880862131003e-34,3.593367177610106614e-34
2.700000000000000000e+01,4.665805276694606547e-33,1.874017036917768635e-33,9.032687761986874367e-33,8.637689156568091789e-33
2.725000000000000000e+01,1.252006319930774498e-32,8.023130712093917575e-32,3.072241420899610767e-32,2.555052287012389944e-32
2.750000000000000000e+01,1.265291869708122912e-31,5.307207473791676882e-32,6.220080596721214058e-33,3.441747507662506235e-32
2.775000000000000000e+01,6.520774391629209461e-33,5.530953618363001059e-32,7.638194797212533195e-34,4.431848949740216438e-32
2.800000000000000000e+01,9.654090363014093104e-33,1.868897930887827956e-32,1.417683811665850286e-32,1.378553795797181530e-32
2.825000000000000000e+01,9.522487532941693918e-33,4.430255509260159333e-33,4.578492784232913847e-33,3.997423752248670807e-33
2.850000000000000000e+01,1.059761309900315144e-32,8.750360626645851395e-34,5.383540613438806364e-33,9.769070950878648872e-33
2.875000000000000000e+01,1.135862037671223229e-31,6.799249588752355034e-32,3.617342575939355164e-32,2.288698735746372900e-33
2.900000000000000000e+01,5.760559127774902228e-32,4.834413308510617651e-32,2.511641357796369095e-32,4.199252052877354554e-33
2.925000000000000000e+01,2.370305634709700943e-33,1.876839870126228747e-33,1.787822197984923283e-34,4.571619941966191325e-33
2.950000000000000000e+01,9.213061337614978749e-34,6.397906702154447195e-33,9.910108292860842171e-33,9.024708848193115302e-35
2.975000000000000000e+01,1.825245338246610935e-05,1.072022872892631809e-05,1.866341113958518136e-06,7.908407051256453429e-06
3.000000000000000000e+01,7.300981352985882664e-05,4.288091491570495388e-05,7.465364455833028999e-06,3.163362820502521063e-05
3.025000000000000000e+01,1.825245338246558757e-05,1.072022872892650783e-05,1.866341113958373928e-06,7.908407051256282328e-06
3.050000000000000000e+01,1.829790745904535242e-32,1.056458049513800544e-32,1.380717603648435541e-32,6.815447408478592463e-33
3.075000000000000000e+01,9.032149780556332199e-34,4.298343964845458082e-33,4.407571288874440582e-33,5.296801676964397316e-33
3.100000000000000000e+01,8.943210148229922006e-33,2.420086798162562315e-32,1.048898784081969750e-33,4.679477904579818206e-33
3.125000000000000000e+01,2.790572923691836601e-32,1.738032627633019498e-33,1.178206247758771764e-32,2.338819014428545839e-32
3.150000000000000000e+01,1.834335146979277483e-33,3.384137813829878400e-32,3.128880658360023622e-33,2.510231019923470418e-32
3.175000000000000000e+01,1.252308862779717053e-33,6.166733124003705795e-34,1.233107718240619431e-33,4.641169068161978810e-33
3.200000000000000000e+01,5.114378623023916728e-33,3.269819682675085587e-33,1.912405974399032632e-33,6.763096887878732327e-34
3.225000000000000000e+01,3.185431457633041594e-33,1.335889385427965863e-33,3.489185039160760439e-33,1.087555648125655888e-32
3.250000000000000000e+01,3.033715567732015935e-33,9.967405709243414528e-33,1.694890830405861036e-32,3.462387438278812611e-32
