accepted,alpha_uV2,block,condition,flat,large_excursion,nonfinite_or_shape,overrange,session,start_s
False,,0,1,False,True,False,False,0,2.0
True,8.832935763590214,0,1,False,False,False,False,0,6.0
True,7.227400355785257,1,0,False,False,False,False,0,14.0
True,6.976547288622715,1,0,False,False,False,False,0,18.0
True,10.437490845669755,2,0,False,False,False,False,0,26.0
True,9.504634193127268,2,0,False,False,False,False,0,30.0
True,8.783486005382507,3,1,False,False,False,False,0,38.0
False,,3,1,False,True,False,False,0,42.0
True,8.576248891775457,4,0,False,False,False,False,0,50.0
True,10.477409884136447,4,0,False,False,False,False,0,54.0
True,7.589085587556013,5,1,False,False,False,False,0,62.0
True,9.761873407228542,5,1,False,False,False,False,0,66.0
False,,6,1,False,True,False,False,0,74.0
True,7.541141604085762,6,1,False,False,False,False,0,78.0
True,8.40736034513233,7,0,False,False,False,False,0,86.0
True,9.35249449157972,7,0,False,False,False,False,0,90.0
True,12.840223256572353,8,0,False,False,False,False,1,2.0
False,,8,0,False,True,False,False,1,6.0
True,12.963602696267142,9,1,False,False,False,False,1,14.0
True,12.959229701373822,9,1,False,False,False,False,1,18.0
True,14.025523211035583,10,0,False,False,False,False,1,26.0
True,14.607607530877525,10,0,False,False,False,False,1,30.0
True,15.098048402751648,11,1,False,False,False,False,1,38.0
False,,11,1,False,True,False,False,1,42.0
True,13.748900698354051,12,1,False,False,False,False,1,50.0
True,13.431772194542617,12,1,False,False,False,False,1,54.0
True,14.293709501355325,13,0,False,False,False,False,1,62.0
True,14.159664702113432,13,0,False,False,False,False,1,66.0
False,,14,1,False,True,False,False,1,74.0
True,11.710198879968738,14,1,False,False,False,False,1,78.0
True,12.58865927158072,15,0,False,False,False,False,1,86.0
True,11.937098011485482,15,0,False,False,False,False,1,90.0
True,12.225005444927605,16,1,False,False,False,False,2,2.0
False,,16,1,False,True,False,False,2,6.0
True,11.607145974021439,17,0,False,False,False,False,2,14.0
True,12.724364775923755,17,0,False,False,False,False,2,18.0
True,12.57798331001326,18,1,False,False,False,False,2,26.0
True,12.266339691139605,18,1,False,False,False,False,2,30.0
False,,19,1,False,True,False,False,2,38.0
True,12.822629713853976,19,1,False,False,False,False,2,42.0
True,11.131926708355339,20,0,False,False,False,False,2,50.0
True,13.596415448021297,20,0,False,False,False,False,2,54.0
True,9.961181233900952,21,0,False,False,False,False,2,62.0
True,13.781903663126535,21,0,False,False,False,False,2,66.0
True,10.2009708208205,22,1,False,False,False,False,2,74.0
False,,22,1,False,True,False,False,2,78.0
True,13.101251989306135,23,0,False,False,False,False,2,86.0
True,12.125463920281904,23,0,False,False,False,False,2,90.0
False,,24,0,False,True,False,False,3,2.0
True,12.246216798112856,24,0,False,False,False,False,3,6.0
True,11.758603337710824,25,1,False,False,False,False,3,14.0
True,12.402843649167046,25,1,False,False,False,False,3,18.0
True,10.913347289353606,26,1,False,False,False,False,3,26.0
True,14.266893561807692,26,1,False,False,False,False,3,30.0
True,11.768278737534425,27,0,False,False,False,False,3,38.0
False,,27,0,False,True,False,False,3,42.0
True,11.963936473782043,28,1,False,False,False,False,3,50.0
True,14.423578183050756,28,1,False,False,False,False,3,54.0
True,10.466087000609686,29,0,False,False,False,False,3,62.0
True,11.826308616517563,29,0,False,False,False,False,3,66.0
True,12.495693869223855,30,1,False,False,False,False,3,74.0
False,,30,1,False,True,False,False,3,78.0
True,11.896203256723735,31,0,False,False,False,False,3,86.0
True,13.986327626860879,31,0,False,False,False,False,3,90.0
True,12.759320004928494,32,0,False,False,False,False,4,2.0
False,,32,0,False,True,False,False,4,6.0
True,12.07088421368244,33,1,False,False,False,False,4,14.0
True,12.723119355518403,33,1,False,False,False,False,4,18.0
True,14.495451627441724,34,0,False,False,False,False,4,26.0
True,11.730950974568184,34,0,False,False,False,False,4,30.0
False,,35,1,False,True,False,False,4,38.0
True,14.089439432658136,35,1,False,False,False,False,4,42.0
True,13.020280280073166,36,0,False,False,False,False,4,50.0
True,14.54652771406645,36,0,False,False,False,False,4,54.0
True,11.902787248349473,37,1,False,False,False,False,4,62.0
True,13.154652226473814,37,1,False,False,False,False,4,66.0
False,,38,0,False,True,False,False,4,74.0
True,13.345290507496998,38,0,False,False,False,False,4,78.0
True,13.691264818791652,39,1,False,False,False,False,4,86.0
True,13.122775463006388,39,1,False,False,False,False,4,90.0
False,,40,1,False,True,False,False,5,2.0
True,12.896251684485936,40,1,False,False,False,False,5,6.0
True,10.959453138363456,41,1,False,False,False,False,5,14.0
True,13.649199317394864,41,1,False,False,False,False,5,18.0
True,11.586572695972682,42,1,False,False,False,False,5,26.0
True,12.644203511977482,42,1,False,False,False,False,5,30.0
True,12.173122381267996,43,0,False,False,False,False,5,38.0
False,,43,0,False,True,False,False,5,42.0
True,12.547538495355738,44,0,False,False,False,False,5,50.0
True,13.453493321131518,44,0,False,False,False,False,5,54.0
True,13.079506504851647,45,0,False,False,False,False,5,62.0
True,12.069373101053746,45,0,False,False,False,False,5,66.0
False,,46,1,False,True,False,False,5,74.0
True,14.264541153394484,46,1,False,False,False,False,5,78.0
True,13.756689045901016,47,0,False,False,False,False,5,86.0
True,11.773259175276918,47,0,False,False,False,False,5,90.0
