session,block,onset_s,duration_s,condition
0,0,0.0,12,eyes_closed
0,1,12.0,12,eyes_open
0,2,24.0,12,eyes_open
0,3,36.0,12,eyes_closed
0,4,48.0,12,eyes_open
0,5,60.0,12,eyes_closed
0,6,72.0,12,eyes_closed
0,7,84.0,12,eyes_open
1,8,0.0,12,eyes_open
1,9,12.0,12,eyes_closed
1,10,24.0,12,eyes_open
1,11,36.0,12,eyes_closed
1,12,48.0,12,eyes_closed
1,13,60.0,12,eyes_open
1,14,72.0,12,eyes_closed
1,15,84.0,12,eyes_open
2,16,0.0,12,eyes_closed
2,17,12.0,12,eyes_open
2,18,24.0,12,eyes_closed
2,19,36.0,12,eyes_closed
2,20,48.0,12,eyes_open
2,21,60.0,12,eyes_open
2,22,72.0,12,eyes_closed
2,23,84.0,12,eyes_open
3,24,0.0,12,eyes_open
3,25,12.0,12,eyes_closed
3,26,24.0,12,eyes_closed
3,27,36.0,12,eyes_open
3,28,48.0,12,eyes_closed
3,29,60.0,12,eyes_open
3,30,72.0,12,eyes_closed
3,31,84.0,12,eyes_open
4,32,0.0,12,eyes_open
4,33,12.0,12,eyes_closed
4,34,24.0,12,eyes_open
4,35,36.0,12,eyes_closed
4,36,48.0,12,eyes_open
4,37,60.0,12,eyes_closed
4,38,72.0,12,eyes_open
4,39,84.0,12,eyes_closed
5,40,0.0,12,eyes_closed
5,41,12.0,12,eyes_closed
5,42,24.0,12,eyes_closed
5,43,36.0,12,eyes_open
5,44,48.0,12,eyes_open
5,45,60.0,12,eyes_open
5,46,72.0,12,eyes_closed
5,47,84.0,12,eyes_open
