frequency_hz,differential_gain,common_to_differential_gain
1.000000000000000056e-01,9.999799917657939963e-01,4.007546272285824463e-05
1.059253725177288913e-01,9.999799907122629561e-01,4.008505032171165487e-05
1.122018454301963591e-01,9.999799895301817454e-01,4.009580502610056495e-05
1.188502227437018277e-01,9.999799882038653553e-01,4.010786853278652423e-05
1.258925411794167282e-01,9.999799867157136424e-01,4.012139964584016816e-05
1.333521432163324028e-01,9.999799850459802908e-01,4.013657631510458330e-05
1.412537544622754215e-01,9.999799831725089128e-01,4.015359791636655102e-05
1.496235656094433430e-01,9.999799810704401715e-01,4.017268778928688287e-05
1.584893192461113431e-01,9.999799787118806016e-01,4.019409606871128320e-05
1.678804018122560249e-01,9.999799760655337932e-01,4.021810284102253616e-05
1.778279410038922925e-01,9.999799730962845024e-01,4.024502165117894921e-05
1.883649089489800588e-01,9.999799697647330232e-01,4.027520340370132886e-05
1.995262314968879735e-01,9.999799660266723844e-01,4.030904069253022699e-05
2.113489039836646544e-01,9.999799618325005968e-01,4.034697260637443606e-05
2.238721138568340041e-01,9.999799571265645115e-01,4.038949004552644487e-05
2.371373705661655173e-01,9.999799518464197456e-01,4.043714159878881195e-05
2.511886431509580131e-01,9.999799459220027886e-01,4.049054003380361187e-05
2.660725059798809689e-01,9.999799392747018567e-01,4.055036943946016033e-05
2.818382931264453717e-01,9.999799318163127282e-01,4.061739307443056312e-05
2.985382618917959974e-01,9.999799234478682353e-01,4.069246196722460204e-05
3.162277660168379412e-01,9.999799140583266466e-01,4.077652431408934831e-05
3.349654391578276713e-01,9.999799035230978461e-01,4.087063571237071119e-05
3.548133892335754713e-01,9.999798917023892120e-01,4.097597026089221247e-05
3.758374042884441990e-01,9.999798784393515438e-01,4.109383255338690954e-05
3.981071705534973137e-01,9.999798635579973949e-01,4.122567057615614613e-05
4.216965034285822256e-01,9.999798468608691593e-01,4.137308949753861707e-05
4.466835921509631491e-01,9.999798281264135058e-01,4.153786632469810787e-05
4.731512589614805253e-01,9.999798071060477245e-01,4.172196537677105182e-05
5.011872336272723549e-01,9.999797835208584784e-01,4.192755447869586817e-05
5.308844442309884615e-01,9.999797570579033179e-01,4.215702177172303837e-05
5.623413251903490728e-01,9.999797273660567809e-01,4.241299296680577102e-05
5.956621435290104793e-01,9.999796940513554500e-01,4.269834884199671509e-05
6.309573444801932496e-01,9.999796566717691348e-01,4.301624274271269283e-05
6.683439175686146649e-01,9.999796147313388950e-01,4.337011777928415524e-05
7.079457843841380216e-01,9.999795676735981909e-01,4.376372339914431220e-05
7.498942093324557634e-01,9.999795148741914552e-01,4.420113095505968188e-05
7.943282347242814900e-01,9.999794556325927175e-01,4.468674788616459090e-05
8.413951416451951326e-01,9.999793891628169229e-01,4.522533010838711271e-05
8.912509381337456738e-01,9.999793145829934948e-01,4.582199223384212131e-05
9.440608762859236114e-01,9.999792309036744653e-01,4.648221527881384534e-05
1.000000000000000000e+00,9.999791370147140812e-01,4.721185158996743346e-05
1.059253725177289107e+00,9.999790316705490234e-01,4.801712681873068561e-05
1.122018454301963564e+00,9.999789134736880580e-01,4.890463890745821426e-05
1.188502227437018277e+00,9.999787808561836355e-01,4.988135420302963752e-05
1.258925411794167504e+00,9.999786320588549549e-01,5.095460098023832601e-05
1.333521432163323972e+00,9.999784651079710596e-01,5.213206083522584913e-05
1.412537544622754826e+00,9.999782777891023100e-01,5.342175856653210748e-05
1.496235656094433653e+00,9.999780676177816297e-01,5.483205128576603874e-05
1.584893192461114042e+00,9.999778318065994931e-01,5.637161760411702426e-05
1.678804018122560748e+00,9.999775672282930072e-01,5.804944775607250712e-05
1.778279410038922759e+00,9.999772703743451396e-01,5.987483549794685162e-05
1.883649089489801032e+00,9.999769373085496404e-01,6.185737251952628103e-05
1.995262314968879735e+00,9.999765636149332559e-01,6.400694594319688419e-05
2.113489039836647709e+00,9.999761443393491156e-01,6.633373927655085477e-05
2.238721138568339875e+00,9.999756739239813452e-01,6.884823693733637090e-05
2.371373705661655062e+00,9.999751461338994840e-01,7.156123219592890820e-05
2.511886431509581019e+00,9.999745539747074696e-01,7.448383812242648022e-05
2.660725059798809689e+00,9.999738896002146049e-01,7.762750085497203295e-05
2.818382931264455049e+00,9.999731442089279110e-01,8.100401427859353816e-05
2.985382618917960418e+00,9.999723079280237181e-01,8.462553499792131392e-05
3.162277660168379523e+00,9.999713696833033572e-01,8.850459629406668685e-05
3.349654391578277490e+00,9.999703170534532948e-01,9.265411962487566299e-05
3.548133892335755046e+00,9.999691361067438722e-01,9.708742206082701654e-05
3.758374042884442989e+00,9.999678112180775402e-01,1.018182179459057820e-04
3.981071705534973137e+00,9.999663248640624502e-01,1.068606129271437353e-04
4.216965034285822256e+00,9.999646573935190297e-01,1.122290883647284159e-04
4.466835921509632712e+00,9.999627867705342954e-01,1.179384739778429443e-04
4.731512589614805364e+00,9.999606882868555813e-01,1.240039064159041378e-04
5.011872336272724660e+00,9.999583342400647501e-01,1.304407712466183050e-04
5.308844442309884393e+00,9.999556935735729457e-01,1.372646256515026983e-04
5.623413251903490284e+00,9.999527314740684902e-01,1.444910989111301098e-04
5.956621435290106348e+00,9.999494089215730241e-01,1.521357675517154024e-04
6.309573444801933384e+00,9.999456821867670486e-01,1.602140018595466094e-04
6.683439175686149092e+00,9.999415022697120126e-01,1.687407803394356338e-04
7.079457843841380438e+00,9.999368142735104437e-01,1.777304686728390845e-04
7.498942093324558300e+00,9.999315567058455478e-01,1.871965598276693714e-04
7.943282347242817565e+00,9.999256607006958841e-01,1.971513722610058041e-04
8.413951416451951104e+00,9.999190491518586965e-01,2.076057036911008072e-04
8.912509381337459402e+00,9.999116357492441320e-01,2.185684387667827927e-04
9.440608762859236336e+00,9.999033239082315561e-01,2.300461101896275769e-04
1.000000000000000000e+01,9.998940055817275852e-01,2.420424145517854615e-04
1.059253725177288707e+01,9.998835599439790389e-01,2.545576863620657975e-04
1.122018454301964141e+01,9.998718519346913025e-01,2.675883365252895415e-04
1.188502227437018988e+01,9.998587306516319995e-01,2.811262649035625510e-04
1.258925411794167459e+01,9.998440275797508825e-01,2.951582604818122355e-04
1.333521432163323972e+01,9.998275546449597595e-01,3.096654069828386354e-04
1.412537544622754027e+01,9.998091020812270857e-01,3.246225162937475513e-04
1.496235656094434319e+01,9.997884361006622589e-01,3.399976164859267380e-04
1.584893192461114175e+01,9.997652963579414243e-01,3.557515250761476714e-04
1.678804018122560748e+01,9.997393932029767782e-01,3.718375409623260659e-04
1.778279410038922848e+01,9.997104047193566823e-01,3.882012895421823500e-04
1.883649089489800232e+01,9.996779735510852305e-01,4.047807542622064414e-04
1.995262314968880801e+01,9.996417035268432283e-01,4.215065236708874551e-04
2.113489039836647621e+01,9.996011560997460910e-01,4.383022755825023535e-04
2.238721138568340052e+01,9.995558466318505975e-01,4.550855091293157305e-04
2.371373705661655151e+01,9.995052405668998219e-01,4.717685215860941534e-04
2.511886431509581996e+01,9.994487495525550269e-01,4.882596107634724057e-04
2.660725059798811287e+01,9.993857275951321117e-01,5.044644667468662410e-04
2.818382931264454783e+01,9.993154673561970291e-01,5.202877005173239724e-04
2.985382618917960329e+01,9.992371967316850956e-01,5.356344434514715086e-04
3.162277660168379256e+01,9.991500758908105073e-01,5.504119426629261241e-04
3.349654391578279444e+01,9.990531949939481793e-01,5.645310741029515916e-04
3.548133892335756912e+01,9.989455728555616254e-01,5.779076990991955341e-04
3.758374042884442900e+01,9.988261568691438885e-01,5.904638005405480781e-04
3.981071705534973404e+01,9.986938245643554035e-01,6.021283513127050069e-04
4.216965034285822611e+01,9.985473872192262013e-01,6.128378882037695133e-04
4.466835921509634488e+01,9.983855959983826134e-01,6.225367871064052582e-04
4.731512589614807496e+01,9.982071511259864582e-01,6.311772576327179122e-04
5.011872336272724482e+01,9.980107146219904246e-01,6.387190950247447407e-04
5.308844442309884926e+01,9.977949271229445971e-01,6.451292427826879790e-04
5.623413251903490817e+01,9.975584292629374739e-01,6.503812296563863619e-04
5.956621435290109190e+01,9.972998879939243277e-01,6.544545491402342131e-04
6.309573444801936404e+01,9.970180280652736204e-01,6.573340485570982076e-04
6.683439175686149269e+01,9.967116686487226263e-01,6.590093888632519341e-04
7.079457843841380793e+01,9.963797647796929224e-01,6.594746262829355140e-04
7.498942093324558300e+01,9.960214528883218899e-01,6.587279538634281412e-04
7.943282347242821118e+01,9.956360992227004658e-01,6.567716259056477360e-04
8.413951416451955367e+01,9.952233494449405082e-01,6.536120719617959270e-04
8.912509381337459047e+01,9.947831771456941974e-01,6.492601904623799451e-04
9.440608762859235981e+01,9.943159285286141680e-01,6.437317959193137804e-04
1.000000000000000000e+02,9.938223601311030331e-01,6.370481788546525272e-04
1.059253725177289738e+02,9.933036662477235934e-01,6.292367250662671491e-04
1.122018454301964141e+02,9.927614927821418744e-01,6.203315315457075220e-04
1.188502227437018917e+02,9.921979346315352721e-01,6.103739512733812392e-04
1.258925411794167530e+02,9.916155144327215565e-01,5.994129991111682692e-04
1.333521432163323936e+02,9.910171415568822528e-01,5.875055566263437520e-04
1.412537544622755377e+02,9.904060515623984706e-01,5.747163250042642418e-04
1.496235656094434319e+02,9.897857277842226909e-01,5.611174916816674685e-04
1.584893192461114211e+02,9.891598081942918341e-01,5.467880967914494047e-04
1.678804018122560535e+02,9.885319819333769908e-01,5.318131080352461260e-04
1.778279410038922776e+02,9.879058808237594080e-01,5.162822350684050229e-04
