gain_10hz,common_to_diff_50hz
9.998926648726441657e-01,2.409372131558721718e-05
9.998930689159302165e-01,1.089756944178493534e-05
9.998939591323553477e-01,1.389012318556790927e-05
9.998985613657206395e-01,8.839409211988209704e-06
9.998922355882163826e-01,1.058909085947695489e-05
9.998942641545899290e-01,6.386061154129490216e-06
9.998983429946067814e-01,1.205991410170377061e-05
9.998919559343734109e-01,4.084380167568546607e-05
9.998985397333294278e-01,1.820548951041192723e-05
9.998891716912555738e-01,1.081934898121269974e-05
9.998944530147203524e-01,1.366520359675617762e-05
9.998930655846445248e-01,2.790173133050444874e-05
9.998919508690887747e-01,4.780904495713297604e-06
9.998950830932397116e-01,4.711260928991797652e-05
9.998942459009662054e-01,1.099719123260561743e-05
9.998969574506927360e-01,4.656060191316908881e-05
9.998914907016409614e-01,3.267123687463252142e-06
9.998903464926625073e-01,2.604594060740385384e-05
9.998950787116843708e-01,3.043946206770053631e-05
9.998953165144608413e-01,5.094304617143058736e-05
9.998949385084162644e-01,2.839191138436508117e-05
9.998884404320579344e-01,4.307428459839369463e-05
9.998927349713878643e-01,1.255941628065400023e-05
9.998957505934487067e-01,3.149665375045729749e-05
9.998946761141851436e-01,2.882747390167568390e-05
9.998936339963401254e-01,1.291549901275056570e-05
9.998924392689327867e-01,2.628050698272610323e-06
9.998901515160051323e-01,2.978566499288608135e-06
9.998971641310128167e-01,1.894577958339467425e-05
9.998950774430783728e-01,8.719743159872001882e-06
9.998950070509338151e-01,5.102820155069955131e-05
9.998939110709589295e-01,3.108238474987049785e-05
9.998970070625068374e-01,4.929799875905764811e-05
9.998954482926716292e-01,6.704459709504609071e-06
9.998948099415690960e-01,1.456061882027776165e-05
9.998927736492511098e-01,4.075231354735009691e-05
9.998957922963221945e-01,6.139137739441078019e-06
9.998890916088838399e-01,1.198504010286583498e-05
9.998990150390750786e-01,4.351242258567331538e-05
9.998894332835929211e-01,1.052754928415699507e-05
9.998983336831454016e-01,3.606385639828888992e-05
9.998989250777550186e-01,1.914198281948994366e-06
9.998956033316810377e-01,2.607815400578807051e-06
9.998976206095899766e-01,2.284045250547425806e-05
9.998938582154632826e-01,1.744730940333254188e-05
9.998916568023143991e-01,3.918829540790333910e-06
9.998968924526926427e-01,2.403277356115233276e-06
9.998872496495146978e-01,3.057584377817853058e-05
9.998950525278497148e-01,2.269151850182760753e-05
9.998914551943480777e-01,3.543833300121150727e-05
9.998979042345751411e-01,1.022160852808784845e-05
9.998895407721362094e-01,8.822189269152199892e-06
9.998954983552522657e-01,3.270742073623998928e-06
9.998935167169960003e-01,5.503654827544333083e-06
9.998897849011274541e-01,1.167451417095030843e-05
9.998915473320579839e-01,4.412166223740067949e-05
9.998948110645442533e-01,3.805544306832654884e-05
9.998897693743568071e-01,3.119854403637995995e-05
9.998893582940230340e-01,3.211307654419897365e-05
9.998936698311072790e-01,2.421471288729824396e-05
9.998999177383484094e-01,1.259296866627806822e-05
9.998943709287058113e-01,1.245202546100035352e-05
9.998972426392065405e-01,4.393698321081785047e-05
9.998891977460249159e-01,8.416671055601074864e-06
9.998894101152496772e-01,7.069179504185620696e-06
9.998991022409039475e-01,5.546710827220342082e-05
9.998978351621240490e-01,3.561824063321888695e-05
9.998974217022105204e-01,4.605818490272692054e-06
9.998984000355508606e-01,3.795569176604627237e-05
9.998960119308250016e-01,1.114256883776633885e-05
9.998945083107432241e-01,1.126794643099805491e-05
9.998917296947938960e-01,2.445627159749167991e-05
9.998945944822820175e-01,2.706427528907330630e-05
9.998945094235923703e-01,5.650547163613849804e-05
9.998893023692867477e-01,2.544179057538585600e-05
9.998935849409107401e-01,8.457186569049591221e-06
9.998938722475168017e-01,5.389134403036427841e-05
9.998904328979451028e-01,2.219736049328971747e-05
9.998955428822260405e-01,4.700911774148144264e-06
9.998934107447253750e-01,2.038527361164590198e-05
9.998937347591555502e-01,3.568029088749215076e-05
9.998961926594113203e-01,1.387974794533875646e-05
9.998887087389665140e-01,7.908236113711083280e-06
9.998917111831771010e-01,1.146400759757931652e-05
9.998925365323274583e-01,2.072634142448449057e-05
9.998959190772843675e-01,8.961517475207726841e-06
9.998894418446474530e-01,4.201201610520530780e-06
9.998965712043519360e-01,2.636763929713510716e-05
9.998970869640484427e-01,3.344714888660163649e-06
9.998890452179819421e-01,2.001911803940508271e-05
9.998968951903722813e-01,4.334468858596130512e-05
9.998947295147355696e-01,1.191758881455857621e-05
9.998907865214476942e-01,4.417180804629284563e-06
9.998890356886442898e-01,1.359123191451627837e-05
9.998988936813201223e-01,1.330480515304399873e-06
9.998907611072699320e-01,1.031512412990032519e-05
9.998935149078596041e-01,3.335137554732072569e-05
9.998936907469254676e-01,7.403250736326714092e-06
9.998935344999304586e-01,6.946973450155697973e-06
9.998974137848606336e-01,6.376928681499881629e-06
9.998954640305842689e-01,4.308120575688440684e-05
